Rank,Gender,Age,Finish,Pace,athlet_url,race_url,Watch,Shoes,Distance,city,year,race_type,Watch_Brand,Watch_Error,Watch_Error_Abs,Finish_num
2,M,,1:02:57,2:59/km,13506056,2137960313,Garmin Forerunner 645 Music,NA,21.29,Barcelona,2019,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,1.0491666666666668
3,M,25-34,1:03:52,3:02/km,24458592,2136097603,Garmin Forerunner 735XT,NA,21.21,Barcelona,2019,Halfmarathon,Garmin,0.11250000000000071,0.11250000000000071,1.0644444444444445
4,M,35-44,1:03:55,3:02/km,10739123,2136025185,Polar Vantage V,"adidas Glide(16,070.6 km)",21.38,Barcelona,2019,Halfmarathon,Polar,0.28249999999999886,0.28249999999999886,1.0652777777777778
5,M,,1:04:32,3:04/km,9989882,2135994159,Garmin Forerunner 235,NA,21.29,Barcelona,2019,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,1.0755555555555556
6,M,25-34,1:04:53,3:05/km,20803711,2136352857,Garmin Forerunner 235,Nike Vaporfly 4% Flyknit(259.2 km),21.23,Barcelona,2019,Halfmarathon,Garmin,0.13250000000000028,0.13250000000000028,1.081388888888889
7,M,25-34,1:04:54,3:05/km,30191298,2139139679,Garmin Forerunner 235,NA,21.29,Barcelona,2019,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,1.0816666666666666
8,M,35-44,1:04:58,3:05/km,1095316,2135992570,Garmin Forerunner 235,"New Balance 880(6,072.8 km)",21.33,Barcelona,2019,Halfmarathon,Garmin,0.23249999999999815,0.23249999999999815,1.0827777777777778
9,M,20-24,1:04:59,3:05/km,5840032,2136026887,Garmin Forerunner 920XT,"""adidas chassure d'entrainement 13/02/16(9,098.4 km)""",21.23,Barcelona,2019,Halfmarathon,Garmin,0.13250000000000028,0.13250000000000028,1.0830555555555554
10,M,25-34,1:05:15,3:06/km,4969296,2136085830,,NA,21.06,Barcelona,2019,Halfmarathon,,-0.03750000000000142,0.03750000000000142,1.0875
11,M,35-44,1:05:52,3:07/km,2034737,2136094501,Suunto 9,NA,21.31,Barcelona,2019,Halfmarathon,Suunto,0.21249999999999858,0.21249999999999858,1.0977777777777777
12,M,25-34,1:05:56,3:08/km,1715498,2137157658,Garmin Forerunner 220,"Saucony Liberty(4,617.4 km)",21.2,Barcelona,2019,Halfmarathon,Garmin,0.10249999999999915,0.10249999999999915,1.0988888888888888
13,M,25-34,1:06:03,3:08/km,26069824,2136092005,Polar M430,NA,21.43,Barcelona,2019,Halfmarathon,Polar,0.3324999999999996,0.3324999999999996,1.1008333333333333
14,M,25-34,1:06:03,3:08/km,17046618,2136493538,Garmin Forerunner 935,"Nike PEGASUS 34(10,338.3 km)",21.18,Barcelona,2019,Halfmarathon,Garmin,0.08249999999999957,0.08249999999999957,1.1008333333333333
15,M,25-34,1:06:03,3:08/km,14692012,2147935412,Garmin Forerunner 220,NA,21.29,Barcelona,2019,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,1.1008333333333333
16,M,,1:06:20,3:09/km,3149871,2136056358,Suunto Ambit3 Peak,NA,21.35,Barcelona,2019,Halfmarathon,Suunto,0.2525000000000013,0.2525000000000013,1.1055555555555556
17,M,25-34,1:06:50,3:10/km,13388171,2136145412,Garmin fenix 3,NA,21.41,Barcelona,2019,Halfmarathon,Garmin,0.3125,0.3125,1.113888888888889
18,M,0-19,1:07:08,3:11/km,7167299,2136028243,Garmin fenix 5,Nike zoom vaporfly 4%(49.3 km),21.31,Barcelona,2019,Halfmarathon,Garmin,0.21249999999999858,0.21249999999999858,1.1188888888888888
19,M,25-34,1:07:09,3:11/km,947399,2136131884,Suunto Ambit3 Sport,NA,21.36,Barcelona,2019,Halfmarathon,Suunto,0.2624999999999993,0.2624999999999993,1.1191666666666666
20,M,25-34,1:07:14,3:11/km,6295914,2136089864,Garmin Forerunner 235,NA,21.26,Barcelona,2019,Halfmarathon,Garmin,0.16250000000000142,0.16250000000000142,1.1205555555555555
21,M,25-34,1:07:16,3:11/km,3612485,2136012225,Garmin fenix 5,NA,21.29,Barcelona,2019,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,1.1211111111111112
