,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
2,2,M,35-44,2:15:11,3:12/km,3973435,724223825,Garmin Forerunner 220,NA,42.47,Berlin,2016,Marathon,Garmin,0.2749999999999986,0.2749999999999986,NA,2.2530555555555556
3,3,M,35-44,2:16:58,3:15/km,7621711,765661304,Garmin Forerunner 610,NA,42.78,Berlin,2016,Marathon,Garmin,0.5850000000000009,0.5850000000000009,NA,2.2827777777777776
4,4,M,25-34,2:19:23,3:18/km,17191066,748479439,NA,NA,42.9,Berlin,2016,Marathon,NA,0.7049999999999983,0.7049999999999983,NA,2.3230555555555554
5,5,M,25-34,2:20:26,3:20/km,2911188,724242593,Garmin Forerunner 235,Brooks Asteria,42.73,Berlin,2016,Marathon,Garmin,0.5349999999999966,0.5349999999999966,Brooks,2.3405555555555555
6,6,M,25-34,2:21:53,3:22/km,6806974,724260095,Garmin Forerunner 230,NA,42.7,Berlin,2016,Marathon,Garmin,0.5050000000000026,0.5050000000000026,NA,2.3647222222222224
7,7,M,25-34,2:23:01,3:23/km,2354981,724575503,Garmin Forerunner 620,NA,42.66,Berlin,2016,Marathon,Garmin,0.4649999999999963,0.4649999999999963,NA,2.383611111111111
8,8,M,25-34,2:23:47,3:24/km,2614866,724361573,Garmin Forerunner 630,Adidas Adizero Adios 3 M,42.64,Berlin,2016,Marathon,Garmin,0.4450000000000003,0.4450000000000003,Adidas,2.3963888888888887
9,9,M,NA,2:24:23,3:25/km,2825147,724191331,Garmin Forerunner 225,NA,42.61,Berlin,2016,Marathon,Garmin,0.41499999999999915,0.41499999999999915,NA,2.406388888888889
10,10,M,35-44,2:24:29,3:25/km,21562705,1085111565,Garmin Forerunner 235,NA,43.14,Berlin,2016,Marathon,Garmin,0.9450000000000003,0.9450000000000003,NA,2.4080555555555554
11,11,M,25-34,2:25:44,3:27/km,2578098,724379570,Garmin Forerunner 920XT,NA,42.64,Berlin,2016,Marathon,Garmin,0.4450000000000003,0.4450000000000003,NA,2.428888888888889
12,12,M,35-44,2:26:03,3:28/km,10051067,750175054,Garmin Forerunner 620,NA,42.6,Berlin,2016,Marathon,Garmin,0.40500000000000114,0.40500000000000114,NA,2.434166666666667
13,13,M,NA,2:26:31,3:28/km,12189943,731139525,Garmin Forerunner 620,NA,42.46,Berlin,2016,Marathon,Garmin,0.26500000000000057,0.26500000000000057,NA,2.4419444444444447
14,14,M,35-44,2:27:39,3:30/km,5188947,724192394,Garmin Forerunner 920XT,NA,42.51,Berlin,2016,Marathon,Garmin,0.3149999999999977,0.3149999999999977,NA,2.4608333333333334
15,15,M,35-44,2:27:52,3:30/km,2753381,724236591,TomTom,Asics Gel Hyperspeed,42.32,Berlin,2016,Marathon,TomTom,0.125,0.125,Asics,2.4644444444444447
16,16,M,35-44,2:28:16,3:31/km,7771863,724462349,Garmin Forerunner 630,NA,42.52,Berlin,2016,Marathon,Garmin,0.32500000000000284,0.32500000000000284,NA,2.471111111111111
17,17,M,45-54,2:28:29,3:31/km,1108954,729125079,Suunto,NA,42.8,Berlin,2016,Marathon,Suunto,0.6049999999999969,0.6049999999999969,NA,2.4747222222222223
18,18,M,NA,2:28:45,3:32/km,7217408,730884492,Garmin Forerunner 220,NA,42.83,Berlin,2016,Marathon,Garmin,0.634999999999998,0.634999999999998,NA,2.479166666666667
19,19,M,35-44,2:28:50,3:32/km,3959068,724513401,Garmin Forerunner 210,Adidas Adizero Tempo Boost,42.7,Berlin,2016,Marathon,Garmin,0.5050000000000026,0.5050000000000026,Adidas,2.4805555555555556
20,20,M,25-34,2:28:53,3:32/km,3048246,724322394,Garmin Forerunner 220,NA,42.51,Berlin,2016,Marathon,Garmin,0.3149999999999977,0.3149999999999977,NA,2.481388888888889
21,21,M,35-44,2:29:03,3:32/km,15677762,724266070,Garmin Forerunner 620,NA,42.82,Berlin,2016,Marathon,Garmin,0.625,0.625,NA,2.484166666666667
22,22,M,25-34,2:29:11,3:32/km,1572095,724418601,Polar V800,Nike Pegasus 33,42.89,Berlin,2016,Marathon,Polar,0.6950000000000003,0.6950000000000003,Nike,2.486388888888889
23,23,NA,NA,2:29:15,3:32/km,2320871,726026676,Garmin Forerunner 220,Adidas Adizero Adios Boost 3 ,42.97,Berlin,2016,Marathon,Garmin,0.7749999999999986,0.7749999999999986,Adidas,2.4875000000000003
24,24,M,45-54,2:30:56,3:35/km,535132,724243670,Garmin Forerunner 735XT,NA,42.5,Berlin,2016,Marathon,Garmin,0.3049999999999997,0.3049999999999997,NA,2.5155555555555558
25,25,M,35-44,2:31:20,3:35/km,7278867,724227036,TomTom,NA,42.41,Berlin,2016,Marathon,TomTom,0.2149999999999963,0.2149999999999963,NA,2.522222222222222
26,26,M,35-44,2:31:21,3:35/km,749013,724270467,Polar V800,Asics Ds Racer 10,42.77,Berlin,2016,Marathon,Polar,0.5750000000000028,0.5750000000000028,Asics,2.5225
27,27,M,NA,2:31:41,3:36/km,7754210,725960003,Garmin Forerunner 310XT,NA,42.41,Berlin,2016,Marathon,Garmin,0.2149999999999963,0.2149999999999963,NA,2.5280555555555555
28,28,M,35-44,2:31:46,3:36/km,1717769,724425515,Garmin Forerunner 235,Saucony Fastwitch Ss16 Yellow,42.84,Berlin,2016,Marathon,Garmin,0.6450000000000031,0.6450000000000031,Saucony,2.5294444444444446
29,29,M,35-44,2:31:47,3:36/km,15878274,725318152,Garmin Forerunner 225,NA,42.38,Berlin,2016,Marathon,Garmin,0.18500000000000227,0.18500000000000227,NA,2.529722222222222
30,30,M,45-54,2:31:52,3:36/km,1804886,728376295,Garmin Forerunner 620,NA,43.0,Berlin,2016,Marathon,Garmin,0.8049999999999997,0.8049999999999997,NA,2.531111111111111
31,31,M,35-44,2:32:01,3:36/km,402654,724356911,TomTom,NA,42.42,Berlin,2016,Marathon,TomTom,0.22500000000000142,0.22500000000000142,NA,2.533611111111111
32,32,M,25-34,2:32:56,3:37/km,8226214,728045259,GPX,NA,42.76,Berlin,2016,Marathon,GPX,0.5649999999999977,0.5649999999999977,NA,2.548888888888889
33,33,M,25-34,2:33:02,3:38/km,9332941,724312526,Garmin fenix 3,Adidas Adizero Adios Boost 3,43.01,Berlin,2016,Marathon,Garmin,0.8149999999999977,0.8149999999999977,Adidas,2.5505555555555555
34,34,M,NA,2:33:04,3:38/km,23223415,2346000193,Polar,NA,42.69,Berlin,2016,Marathon,Polar,0.49499999999999744,0.49499999999999744,NA,2.551111111111111
35,35,M,35-44,2:33:45,3:39/km,11188017,728207070,GPX,Nike Zoom Streak 6 ,42.52,Berlin,2016,Marathon,GPX,0.32500000000000284,0.32500000000000284,Nike,2.5625
36,36,M,35-44,2:34:33,3:40/km,297403,724215225,Garmin Forerunner 225,NA,42.28,Berlin,2016,Marathon,Garmin,0.08500000000000085,0.08500000000000085,NA,2.575833333333333
37,37,M,35-44,2:34:46,3:40/km,3488959,724248861,Garmin Forerunner 620,Mizuno Wave Rider 19,42.56,Berlin,2016,Marathon,Garmin,0.365000000000002,0.365000000000002,Mizuno,2.5794444444444444
38,38,M,NA,2:35:02,3:40/km,11316588,724186151,GPX,Brooks Hyperion,42.58,Berlin,2016,Marathon,GPX,0.384999999999998,0.384999999999998,Brooks,2.583888888888889
39,39,M,45-54,2:35:10,3:41/km,10289546,725969894,Garmin Forerunner 310XT,NA,42.55,Berlin,2016,Marathon,Garmin,0.3549999999999969,0.3549999999999969,NA,2.5861111111111112
40,40,M,25-34,2:35:19,3:41/km,976143,1019187243,Garmin Forerunner 220,Adidas Adios 2  Yellow,43.01,Berlin,2016,Marathon,Garmin,0.8149999999999977,0.8149999999999977,Adidas,2.588611111111111
41,41,M,35-44,2:35:40,3:41/km,5792747,724380774,Garmin Forerunner 610,Mizuno Wave Rider 19,43.11,Berlin,2016,Marathon,Garmin,0.9149999999999991,0.9149999999999991,Mizuno,2.5944444444444446
42,42,M,25-34,2:35:55,3:42/km,9192982,724193307,Garmin Forerunner 630,Adidas Adios Boost 3.0,42.94,Berlin,2016,Marathon,Garmin,0.7449999999999974,0.7449999999999974,Adidas,2.5986111111111114
43,43,M,25-34,2:35:55,3:42/km,6211392,725938628,Garmin Forerunner 910XT,NA,42.68,Berlin,2016,Marathon,Garmin,0.48499999999999943,0.48499999999999943,NA,2.5986111111111114
44,44,M,25-34,2:35:59,3:42/km,13586293,724353660,Garmin Forerunner 230,NA,42.79,Berlin,2016,Marathon,Garmin,0.5949999999999989,0.5949999999999989,NA,2.5997222222222223
45,45,M,45-54,2:36:30,3:43/km,1734266,728872714,Garmin Forerunner 735XT,NA,42.39,Berlin,2016,Marathon,Garmin,0.19500000000000028,0.19500000000000028,NA,2.6083333333333334
46,46,M,35-44,2:36:33,3:43/km,440907,724313356,Garmin Forerunner 620,Adidas Adidas Adios Boost 3,42.72,Berlin,2016,Marathon,Garmin,0.5249999999999986,0.5249999999999986,Adidas,2.609166666666667
47,47,M,NA,2:36:44,3:43/km,9195445,724240246,Garmin Forerunner 230,Adidas Adios,42.41,Berlin,2016,Marathon,Garmin,0.2149999999999963,0.2149999999999963,Adidas,2.6122222222222224
48,48,M,35-44,2:36:56,3:43/km,15217076,726431098,Garmin Forerunner 910XT,NA,42.99,Berlin,2016,Marathon,Garmin,0.7950000000000017,0.7950000000000017,NA,2.615555555555556
49,49,M,25-34,2:37:10,3:43/km,5974020,725009131,Garmin Forerunner 620,NA,42.59,Berlin,2016,Marathon,Garmin,0.3950000000000031,0.3950000000000031,NA,2.6194444444444445
50,50,M,35-44,2:37:11,3:44/km,14391943,725697312,Polar M400,NA,42.63,Berlin,2016,Marathon,Polar,0.4350000000000023,0.4350000000000023,NA,2.6197222222222223
51,51,M,35-44,2:37:14,3:44/km,18034958,745791794,Garmin Forerunner 620,NA,42.63,Berlin,2016,Marathon,Garmin,0.4350000000000023,0.4350000000000023,NA,2.6205555555555557
52,52,M,45-54,2:37:22,3:44/km,3502515,724276259,Suunto,NA,42.91,Berlin,2016,Marathon,Suunto,0.7149999999999963,0.7149999999999963,NA,2.622777777777778
53,53,NA,NA,2:37:36,3:44/km,3722739,725359154,Garmin Forerunner 10,NA,42.58,Berlin,2016,Marathon,Garmin,0.384999999999998,0.384999999999998,NA,2.6266666666666665
54,54,M,25-34,2:37:49,3:44/km,4815751,724319468,Suunto,Nike Streak 6,42.83,Berlin,2016,Marathon,Suunto,0.634999999999998,0.634999999999998,Nike,2.6302777777777777
