Rank,Gender,Age,Finish,Pace,athlet_url,race_url,Watch,Shoes,Distance,city,year,race_type,Watch_Brand,Watch_Error,Watch_Error_Abs,Finish_num
2,M,,2:16:28,3:14/km,10158066,1846290674,Garmin Forerunner 620,NA,42.56,Berlin,2018,Marathon,Garmin,0.365000000000002,0.365000000000002,2.2744444444444443
3,M,25-34,2:16:39,3:14/km,2473196,1845175726,Garmin fenix 5,Nike Vaporfly 4% Fk #1(290.3 km),42.94,Berlin,2018,Marathon,Garmin,0.7449999999999974,0.7449999999999974,2.2775
4,M,35-44,2:17:29,3:15/km,7621711,1847150174,Garmin Forerunner 610,Mizuno 4 Grey(394.1 km),42.64,Berlin,2018,Marathon,Garmin,0.4450000000000003,0.4450000000000003,2.2913888888888887
5,M,25-34,2:19:52,3:19/km,6806974,1845213969,Garmin Forerunner 230,NA,42.44,Berlin,2018,Marathon,Garmin,0.24499999999999744,0.24499999999999744,2.331111111111111
6,M,25-34,2:20:58,3:20/km,26321104,1849508965,Garmin Forerunner 735XT,"Action(3,714.2 km)",42.5,Berlin,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,2.3494444444444444
7,M,25-34,2:21:00,3:20/km,5675992,1845183465,Garmin Forerunner 230,NA,42.52,Berlin,2018,Marathon,Garmin,0.32500000000000284,0.32500000000000284,2.35
8,M,25-34,2:21:58,3:22/km,9398140,1845551265,Garmin fenix 5 Plus,NA,43.43,Berlin,2018,Marathon,Garmin,1.2349999999999994,1.2349999999999994,2.366111111111111
9,M,20-24,2:22:59,3:23/km,17346841,1846615566,Garmin Forerunner 235,NA,42.48,Berlin,2018,Marathon,Garmin,0.2849999999999966,0.2849999999999966,2.3830555555555555
11,M,25-34,2:23:25,3:24/km,6295914,1845362707,Garmin Forerunner 235,NA,42.48,Berlin,2018,Marathon,Garmin,0.2849999999999966,0.2849999999999966,2.390277777777778
12,M,35-44,2:23:29,3:24/km,20934442,1845016626,Garmin Forerunner 630,NA,42.58,Berlin,2018,Marathon,Garmin,0.384999999999998,0.384999999999998,2.391388888888889
13,M,25-34,2:24:21,3:25/km,2578098,1844943765,Garmin Forerunner 935,Nike VaporFly 4%(177.8 km),42.78,Berlin,2018,Marathon,Garmin,0.5850000000000009,0.5850000000000009,2.4058333333333333
14,M,25-34,2:24:50,3:26/km,2846407,1844992760,Garmin Forerunner 235,NA,42.49,Berlin,2018,Marathon,Garmin,0.2950000000000017,0.2950000000000017,2.4138888888888888
15,M,25-34,2:25:04,3:26/km,21785650,1844903566,Garmin Forerunner 935,NA,42.55,Berlin,2018,Marathon,Garmin,0.3549999999999969,0.3549999999999969,2.417777777777778
16,M,,2:25:09,3:26/km,21870915,1907297601,Garmin Forerunner 235,NA,42.89,Berlin,2018,Marathon,Garmin,0.6950000000000003,0.6950000000000003,2.4191666666666665
17,M,,2:25:09,3:26/km,21493373,1907297636,Garmin Forerunner 235,NA,42.89,Berlin,2018,Marathon,Garmin,0.6950000000000003,0.6950000000000003,2.4191666666666665
18,M,,2:25:23,3:27/km,17406522,1844963856,Garmin fenix 5S,adidas adios boost 3(885.6 km),42.85,Berlin,2018,Marathon,Garmin,0.6550000000000011,0.6550000000000011,2.4230555555555555
19,M,20-24,2:25:25,3:27/km,23851780,1844982702,Garmin Forerunner 230,Nike Streak(42.5 km),42.51,Berlin,2018,Marathon,Garmin,0.3149999999999977,0.3149999999999977,2.423611111111111
21,M,35-44,2:25:38,3:27/km,2959288,1845039389,TomTom,NA,42.35,Berlin,2018,Marathon,TomTom,0.15500000000000114,0.15500000000000114,2.427222222222222
22,M,,2:25:39,3:27/km,12560804,1844890188,Garmin Forerunner 735XT,"adidas Testing(13,734.3 km)",42.48,Berlin,2018,Marathon,Garmin,0.2849999999999966,0.2849999999999966,2.4274999999999998
23,M,25-34,2:26:26,3:28/km,3762022,1845087031,Garmin Forerunner 935,Nike VaporFly 4%(354.3 km),42.53,Berlin,2018,Marathon,Garmin,0.33500000000000085,0.33500000000000085,2.4405555555555556
24,M,25-34,2:27:27,3:30/km,1087624,1845295937,Garmin Forerunner 235,"adidas Boston 6(1,523.2 km)",42.35,Berlin,2018,Marathon,Garmin,0.15500000000000114,0.15500000000000114,2.4575
