,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
2,2,M,NA,2:21:39,3:21/km,3271622,566216224,Garmin Forerunner 220,NA,42.35,Boston,2016,Marathon,Garmin,0.15500000000000114,0.15500000000000114,NA,2.3608333333333333
3,3,M,35-44,2:24:54,3:26/km,4341277,549313818,Garmin Forerunner 620,Nike Vomero,42.3,Boston,2016,Marathon,Garmin,0.10499999999999687,0.10499999999999687,Nike,2.415
4,4,M,35-44,2:28:19,3:31/km,615060,549588713,Suunto Ambit3 Peak,NA,42.47,Boston,2016,Marathon,Suunto,0.2749999999999986,0.2749999999999986,NA,2.4719444444444445
5,5,M,35-44,2:29:33,3:33/km,77908,549448434,Garmin Forerunner 235,Nike Shoes,42.38,Boston,2016,Marathon,Garmin,0.18500000000000227,0.18500000000000227,Nike,2.4925
6,6,M,25-34,2:29:41,3:33/km,7038362,565142998,Garmin Forerunner 620,Skechers Go Ultra 2,42.67,Boston,2016,Marathon,Garmin,0.4750000000000014,0.4750000000000014,Skechers,2.4947222222222223
7,7,M,25-34,2:30:27,3:34/km,8004836,549338107,Garmin Forerunner 235,New Balance 1400,42.31,Boston,2016,Marathon,Garmin,0.11500000000000199,0.11500000000000199,New Balance,2.5075
8,8,M,25-34,2:31:14,3:35/km,2469040,549378116,Garmin Forerunner 235,Nike Boston 2016 Streak 6 Wear Testers,42.33,Boston,2016,Marathon,Garmin,0.134999999999998,0.134999999999998,Nike,2.5205555555555557
9,9,M,45-54,2:31:40,3:36/km,1108954,550142617,Suunto Ambit3 Peak,NA,42.48,Boston,2016,Marathon,Suunto,0.2849999999999966,0.2849999999999966,NA,2.5277777777777777
10,10,M,35-44,2:32:45,3:37/km,1367309,549570963,Garmin Forerunner 220,Nike Lunaracer+ 3,42.42,Boston,2016,Marathon,Garmin,0.22500000000000142,0.22500000000000142,Nike,2.5458333333333334
11,11,M,35-44,2:33:03,3:38/km,1179546,549420027,Garmin Forerunner 620,Nike Lunar Tempo,42.46,Boston,2016,Marathon,Garmin,0.26500000000000057,0.26500000000000057,Nike,2.5508333333333333
12,12,M,25-34,2:33:19,3:38/km,2167255,549428535,Garmin Forerunner 405,Nike Air Zoom Streak 5 Cp,42.35,Boston,2016,Marathon,Garmin,0.15500000000000114,0.15500000000000114,Nike,2.5552777777777775
13,13,M,25-34,2:34:12,3:39/km,5628909,549444625,Garmin Forerunner 620,NA,42.37,Boston,2016,Marathon,Garmin,0.17499999999999716,0.17499999999999716,NA,2.57
14,14,M,25-34,2:34:15,3:39/km,5940600,550706473,Suunto Ambit,Nike Lunartempo,42.77,Boston,2016,Marathon,Suunto,0.5750000000000028,0.5750000000000028,Nike,2.5708333333333333
15,15,M,NA,2:34:47,3:40/km,5779109,549616803,Garmin Forerunner 225,NA,42.23,Boston,2016,Marathon,Garmin,0.03499999999999659,0.03499999999999659,NA,2.579722222222222
16,16,M,25-34,2:34:56,3:40/km,3993137,550611576,Garmin Forerunner 220,NA,42.39,Boston,2016,Marathon,Garmin,0.19500000000000028,0.19500000000000028,NA,2.582222222222222
17,17,M,35-44,2:35:00,3:40/km,2630735,549377076,Garmin Forerunner 620,NA,42.37,Boston,2016,Marathon,Garmin,0.17499999999999716,0.17499999999999716,NA,2.5833333333333335
18,18,M,25-34,2:35:20,3:41/km,982789,549328263,Garmin Forerunner 620,NA,42.35,Boston,2016,Marathon,Garmin,0.15500000000000114,0.15500000000000114,NA,2.588888888888889
19,19,M,45-54,2:36:04,3:42/km,7394050,549321392,Garmin Forerunner 620,NA,42.4,Boston,2016,Marathon,Garmin,0.2049999999999983,0.2049999999999983,NA,2.6011111111111114
20,20,M,35-44,2:36:18,3:42/km,1927713,554835568,Garmin Forerunner 305,Adidas Response Boost Techfit ,42.48,Boston,2016,Marathon,Garmin,0.2849999999999966,0.2849999999999966,Adidas,2.605
21,21,M,35-44,2:37:01,3:43/km,384435,549470811,Garmin Forerunner 630,Adidas Adios Boost 3,42.32,Boston,2016,Marathon,Garmin,0.125,0.125,Adidas,2.6169444444444445
22,22,M,35-44,2:37:23,3:44/km,7761936,549522899,Garmin Forerunner 630,Saucony Type A6,42.34,Boston,2016,Marathon,Garmin,0.14500000000000313,0.14500000000000313,Saucony,2.6230555555555557
23,23,M,NA,2:37:26,3:44/km,7733247,549620316,Garmin Forerunner 410,Adidas Adios Boost 2,42.35,Boston,2016,Marathon,Garmin,0.15500000000000114,0.15500000000000114,Adidas,2.6238888888888887
24,24,M,25-34,2:37:56,3:45/km,6190674,549426209,Suunto Ambit,Hoka One One Clayton,42.54,Boston,2016,Marathon,Suunto,0.34499999999999886,0.34499999999999886,Hoka,2.6322222222222225
25,25,M,NA,2:37:57,3:45/km,10141125,549631880,Garmin Forerunner 220,NA,42.37,Boston,2016,Marathon,Garmin,0.17499999999999716,0.17499999999999716,NA,2.6325
26,26,M,25-34,2:38:23,3:45/km,7213744,549880142,Suunto GPS Track POD,Saucony Type A6,42.48,Boston,2016,Marathon,Suunto,0.2849999999999966,0.2849999999999966,Saucony,2.6397222222222223
27,27,M,25-34,2:38:27,3:45/km,12777735,550422671,Garmin Forerunner 620,NA,42.4,Boston,2016,Marathon,Garmin,0.2049999999999983,0.2049999999999983,NA,2.640833333333333
28,28,M,25-34,2:38:30,3:45/km,1737156,551731188,Garmin fenix 2,NA,43.07,Boston,2016,Marathon,Garmin,0.875,0.875,NA,2.6416666666666666
29,29,M,NA,2:38:34,3:45/km,13847312,726551195,Garmin Forerunner 10,NA,42.49,Boston,2016,Marathon,Garmin,0.2950000000000017,0.2950000000000017,NA,2.642777777777778
30,30,M,25-34,2:38:45,3:46/km,242923,550073999,Garmin Forerunner 230,Adidas Adios Boost 3,42.33,Boston,2016,Marathon,Garmin,0.134999999999998,0.134999999999998,Adidas,2.6458333333333335
31,31,M,NA,2:38:47,3:46/km,12054220,549544723,Fitbit Surge,NA,42.22,Boston,2016,Marathon,Fitbit,0.02499999999999858,0.02499999999999858,NA,2.6463888888888887
32,32,M,25-34,2:38:51,3:46/km,1540463,549734969,Garmin Forerunner 405,Adidas Glide Boost ,42.3,Boston,2016,Marathon,Garmin,0.10499999999999687,0.10499999999999687,Adidas,2.6475
33,33,M,25-34,2:39:14,3:46/km,205401,549330636,Garmin Forerunner 220,NA,42.31,Boston,2016,Marathon,Garmin,0.11500000000000199,0.11500000000000199,NA,2.653888888888889
34,34,M,25-34,2:39:18,3:47/km,13447751,557710949,NA,NA,42.35,Boston,2016,Marathon,NA,0.15500000000000114,0.15500000000000114,NA,2.655
35,35,M,25-34,2:39:49,3:47/km,7089325,560751640,Garmin Forerunner 620,NA,42.32,Boston,2016,Marathon,Garmin,0.125,0.125,NA,2.663611111111111
36,36,M,45-54,2:39:51,3:47/km,1543145,549337501,Garmin Forerunner 920XT,Salomon S-Lab Sense3 Ultra,42.39,Boston,2016,Marathon,Garmin,0.19500000000000028,0.19500000000000028,Salomon,2.6641666666666666
37,37,M,25-34,2:39:52,3:47/km,5722728,549404286,Garmin vivoactive,Asics Ds Trainer 21,42.38,Boston,2016,Marathon,Garmin,0.18500000000000227,0.18500000000000227,Asics,2.6644444444444444
38,38,M,NA,2:39:52,3:47/km,3344440,551934326,Garmin Forerunner 405,NA,42.39,Boston,2016,Marathon,Garmin,0.19500000000000028,0.19500000000000028,NA,2.6644444444444444
