,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
1,1,M,45-54,1:59:44,2:50/km,3036349,1220964691,Strava iPhone App,NA,44.7,Chicago,2017,Marathon,Strava,2.5050000000000026,2.5050000000000026,NA,1.9955555555555555
2,2,M,NA,2:11:01,3:06/km,9647279,1224397936,Garmin Edge 510,NA,43.12,Chicago,2017,Marathon,Garmin,0.9249999999999972,0.9249999999999972,NA,2.183611111111111
3,3,M,45-54,2:16:40,3:14/km,15292632,1221209093,Strava Android App,NA,43.73,Chicago,2017,Marathon,Strava,1.5349999999999966,1.5349999999999966,NA,2.2777777777777777
4,4,F,20-24,2:23:25,3:24/km,6391501,1221608137,Garmin Forerunner 920XT,NA,43.71,Chicago,2017,Marathon,Garmin,1.5150000000000006,1.5150000000000006,NA,2.390277777777778
5,5,M,25-34,2:23:49,3:25/km,11969441,1221412106,Garmin Forerunner 235,NA,43.32,Chicago,2017,Marathon,Garmin,1.125,1.125,NA,2.3969444444444443
6,6,M,25-34,2:23:54,3:25/km,8462191,1221479177,Garmin Forerunner 920XT,NA,43.22,Chicago,2017,Marathon,Garmin,1.0249999999999986,1.0249999999999986,NA,2.3983333333333334
7,7,M,NA,2:25:09,3:26/km,13592392,1221661038,Garmin vivoactive HR,Altra Instinct 1.5,43.65,Chicago,2017,Marathon,Garmin,1.4549999999999983,1.4549999999999983,Altra,2.4191666666666665
8,8,M,35-44,2:26:40,3:29/km,1179546,1221318283,Garmin Forerunner 620,Nike Lunar Tempo,43.31,Chicago,2017,Marathon,Garmin,1.115000000000002,1.115000000000002,Nike,2.4444444444444446
9,9,M,25-34,2:26:40,3:29/km,18463658,1222238936,Garmin Forerunner 220,NA,43.04,Chicago,2017,Marathon,Garmin,0.8449999999999989,0.8449999999999989,NA,2.4444444444444446
10,10,M,NA,2:27:04,3:29/km,20211689,1221180332,Garmin Forerunner 230,Nike Elite,43.37,Chicago,2017,Marathon,Garmin,1.1749999999999972,1.1749999999999972,Nike,2.4511111111111115
11,11,M,35-44,2:27:18,3:29/km,7771863,1221165203,Garmin Forerunner 630,NA,42.29,Chicago,2017,Marathon,Garmin,0.09499999999999886,0.09499999999999886,NA,2.455
12,12,M,25-34,2:27:31,3:30/km,8426473,1221182106,Garmin vivoactive HR,Hoka One One Clifton 2 Blue/Black,43.12,Chicago,2017,Marathon,Garmin,0.9249999999999972,0.9249999999999972,Hoka,2.4586111111111113
13,13,M,25-34,2:28:03,3:31/km,18323843,1221444685,Garmin Forerunner 235,NA,42.92,Chicago,2017,Marathon,Garmin,0.7250000000000014,0.7250000000000014,NA,2.4675000000000002
14,14,M,25-34,2:28:06,3:31/km,13692773,1221166397,Garmin Forerunner 620,NA,43.46,Chicago,2017,Marathon,Garmin,1.2650000000000006,1.2650000000000006,NA,2.4683333333333333
15,15,M,25-34,2:28:15,3:31/km,4907644,1221372639,Garmin Forerunner 620,Asics Gel Nimbus 14S,43.17,Chicago,2017,Marathon,Garmin,0.9750000000000014,0.9750000000000014,Asics,2.4708333333333337
16,16,M,25-34,2:28:56,3:32/km,1956409,1221087249,Garmin Forerunner 920XT,NA,43.54,Chicago,2017,Marathon,Garmin,1.3449999999999989,1.3449999999999989,NA,2.4822222222222226
17,17,NA,NA,2:29:08,3:32/km,9034867,1221379278,Garmin Forerunner 935,NA,43.39,Chicago,2017,Marathon,Garmin,1.1950000000000003,1.1950000000000003,NA,2.4855555555555555
18,18,F,NA,2:29:44,3:33/km,10695352,1232767657,Garmin Forerunner 235,NA,43.28,Chicago,2017,Marathon,Garmin,1.0850000000000009,1.0850000000000009,NA,2.4955555555555557
19,19,M,NA,2:30:42,3:34/km,10001340,1221253891,Garmin Forerunner 735XT,Adidas Adios ,42.27,Chicago,2017,Marathon,Garmin,0.07500000000000284,0.07500000000000284,Adidas,2.5116666666666667
20,20,M,25-34,2:30:53,3:35/km,23807531,1222478414,Garmin Forerunner 230,Saucony Guide,44.33,Chicago,2017,Marathon,Garmin,2.134999999999998,2.134999999999998,Saucony,2.5147222222222223
21,21,M,25-34,2:31:16,3:35/km,4566930,1221312906,Garmin Forerunner 235,New Balance 1400,42.39,Chicago,2017,Marathon,Garmin,0.19500000000000028,0.19500000000000028,New Balance,2.521111111111111
22,22,M,NA,2:31:25,3:35/km,19767969,1221159817,Garmin Forerunner 735XT,NA,42.97,Chicago,2017,Marathon,Garmin,0.7749999999999986,0.7749999999999986,NA,2.5236111111111112
23,23,M,25-34,2:31:41,3:36/km,307920,1221121628,Garmin fenix 3,NA,43.89,Chicago,2017,Marathon,Garmin,1.6950000000000003,1.6950000000000003,NA,2.5280555555555555
24,24,M,35-44,2:31:48,3:36/km,6616769,1221192822,Garmin Forerunner 235,Nike Vaporfly 4%,43.35,Chicago,2017,Marathon,Garmin,1.1550000000000011,1.1550000000000011,Nike,2.53
25,25,M,25-34,2:31:54,3:36/km,12525610,1225210525,Garmin Forerunner 220,NA,43.18,Chicago,2017,Marathon,Garmin,0.9849999999999994,0.9849999999999994,NA,2.5316666666666667
26,26,M,25-34,2:32:06,3:36/km,5974020,1221422606,Garmin Forerunner 620,NA,43.4,Chicago,2017,Marathon,Garmin,1.2049999999999983,1.2049999999999983,NA,2.5349999999999997
27,27,M,25-34,2:32:25,3:37/km,9474525,1221350385,Suunto Ambit3 Peak,NA,43.51,Chicago,2017,Marathon,Suunto,1.3149999999999977,1.3149999999999977,NA,2.540277777777778
28,28,M,35-44,2:32:36,3:37/km,3383142,1221224411,Garmin fenix 3,Brooks Hyperion,44.7,Chicago,2017,Marathon,Garmin,2.5050000000000026,2.5050000000000026,Brooks,2.543333333333333
29,29,M,25-34,2:33:42,3:39/km,3371879,1221236045,Garmin Forerunner 235,Nike Vaporfly 4%,43.47,Chicago,2017,Marathon,Garmin,1.2749999999999986,1.2749999999999986,Nike,2.5616666666666665
30,30,M,35-44,2:33:51,3:39/km,7811808,1221589472,Garmin Forerunner 935,NA,43.73,Chicago,2017,Marathon,Garmin,1.5349999999999966,1.5349999999999966,NA,2.5641666666666665
31,31,M,35-44,2:34:37,3:40/km,3520359,1221427059,Garmin Forerunner 230,Adidas Adios,43.17,Chicago,2017,Marathon,Garmin,0.9750000000000014,0.9750000000000014,Adidas,2.576944444444444
32,32,M,25-34,2:34:47,3:40/km,12977228,1221142262,Garmin Forerunner 220,NA,43.36,Chicago,2017,Marathon,Garmin,1.1649999999999991,1.1649999999999991,NA,2.579722222222222
33,33,M,25-34,2:34:59,3:40/km,1138868,1221404570,Garmin Forerunner 230,Nike Zoom Fly Marathoners,44.41,Chicago,2017,Marathon,Garmin,2.2149999999999963,2.2149999999999963,Nike,2.583055555555555
34,34,M,35-44,2:35:13,3:41/km,7894867,1221166401,Garmin Forerunner 620,Nike Pegasus 34,43.46,Chicago,2017,Marathon,Garmin,1.2650000000000006,1.2650000000000006,Nike,2.5869444444444447
35,35,M,35-44,2:35:49,3:42/km,351188,1221204954,Garmin Forerunner 230,Adidas Adios Boost 3,43.22,Chicago,2017,Marathon,Garmin,1.0249999999999986,1.0249999999999986,Adidas,2.5969444444444445
36,36,M,NA,2:36:04,3:42/km,9962551,1221575510,Garmin Forerunner 230,Adidas Adizero Adios 3 ,44.2,Chicago,2017,Marathon,Garmin,2.0050000000000026,2.0050000000000026,Adidas,2.6011111111111114
37,37,M,35-44,2:36:07,3:42/km,15805252,1221684846,Garmin Forerunner 935,NA,43.15,Chicago,2017,Marathon,Garmin,0.9549999999999983,0.9549999999999983,NA,2.6019444444444444
38,38,M,25-34,2:36:30,3:43/km,15819069,1221201371,Garmin Forerunner 235,NA,43.91,Chicago,2017,Marathon,Garmin,1.7149999999999963,1.7149999999999963,NA,2.6083333333333334
39,39,M,35-44,2:36:46,3:43/km,6987543,1221189758,Garmin Forerunner 235,NA,43.63,Chicago,2017,Marathon,Garmin,1.4350000000000023,1.4350000000000023,NA,2.612777777777778
40,40,M,NA,2:36:46,3:43/km,13478377,1221359083,Garmin Forerunner 620,Brooks Hyperion,43.47,Chicago,2017,Marathon,Garmin,1.2749999999999986,1.2749999999999986,Brooks,2.612777777777778
41,41,M,35-44,2:36:57,3:43/km,25726725,1235076117,Garmin Forerunner 35,NA,43.87,Chicago,2017,Marathon,Garmin,1.6749999999999972,1.6749999999999972,NA,2.6158333333333332
42,42,M,35-44,2:37:03,3:43/km,5188947,1221221547,Garmin Forerunner 920XT,NA,43.49,Chicago,2017,Marathon,Garmin,1.2950000000000017,1.2950000000000017,NA,2.6175
43,43,M,45-54,2:37:17,3:44/km,18612417,1226353550,Garmin Forerunner 920XT,NA,43.44,Chicago,2017,Marathon,Garmin,1.2449999999999974,1.2449999999999974,NA,2.6213888888888888
44,44,M,35-44,2:37:38,3:44/km,27702283,1380759235,NA,NA,42.4,Chicago,2017,Marathon,NA,0.2049999999999983,0.2049999999999983,NA,2.627222222222222
45,45,M,25-34,2:37:42,3:44/km,1575611,1221419930,Garmin fenix 3,NA,45.11,Chicago,2017,Marathon,Garmin,2.914999999999999,2.914999999999999,NA,2.6283333333333334
46,46,M,25-34,2:37:53,3:45/km,18932292,1221633665,Garmin Forerunner 735XT,Mizuno Wave Shadow,43.37,Chicago,2017,Marathon,Garmin,1.1749999999999972,1.1749999999999972,Mizuno,2.631388888888889
47,47,M,25-34,2:37:55,3:45/km,5923505,1221296868,Garmin Forerunner 920XT,Adidas Adizero Adios Boost 3,43.64,Chicago,2017,Marathon,Garmin,1.4450000000000003,1.4450000000000003,Adidas,2.6319444444444446
48,48,M,NA,2:38:13,3:45/km,22636736,1223585880,Garmin Forerunner 35,NA,44.22,Chicago,2017,Marathon,Garmin,2.0249999999999986,2.0249999999999986,NA,2.6369444444444445
