,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
4,4,M,25-34,2:15:55,3:13/km,11204534,1524689165,Garmin Forerunner 235,NA,42.25,London,2018,Marathon,Garmin,0.054999999999999716,0.054999999999999716,NA,2.265277777777778
5,5,M,25-34,2:21:53,3:22/km,6563413,1524642687,Garmin Forerunner 235,Nike Vaporfly - Red,42.44,London,2018,Marathon,Garmin,0.24499999999999744,0.24499999999999744,Nike,2.3647222222222224
6,6,M,25-34,2:22:53,3:23/km,2993770,1524507004,Garmin Forerunner 220,NA,42.31,London,2018,Marathon,Garmin,0.11500000000000199,0.11500000000000199,NA,2.381388888888889
7,7,M,35-44,2:23:19,3:24/km,1296350,1525220663,Suunto Ambit3 Sport,NA,42.89,London,2018,Marathon,Suunto,0.6950000000000003,0.6950000000000003,NA,2.388611111111111
8,8,M,25-34,2:24:21,3:25/km,9147873,1524538332,Garmin Forerunner 230,New Balance Verge,42.27,London,2018,Marathon,Garmin,0.07500000000000284,0.07500000000000284,New Balance,2.4058333333333333
9,9,M,35-44,2:27:28,3:30/km,493823,1524437658,Polar M430,NA,42.87,London,2018,Marathon,Polar,0.6749999999999972,0.6749999999999972,NA,2.457777777777778
10,10,M,35-44,2:27:56,3:30/km,7536729,1524478753,Garmin fenix 3,Nike Vaporfly #1,42.67,London,2018,Marathon,Garmin,0.4750000000000014,0.4750000000000014,Nike,2.465555555555556
11,11,M,35-44,2:28:07,3:31/km,9426736,1524525970,Garmin Forerunner 620,Nike Zoom Fly,42.89,London,2018,Marathon,Garmin,0.6950000000000003,0.6950000000000003,Nike,2.468611111111111
12,12,M,25-34,2:28:24,3:31/km,1262861,1524635030,Garmin Forerunner 630,New Balance 1400 V5 ,42.46,London,2018,Marathon,Garmin,0.26500000000000057,0.26500000000000057,New Balance,2.4733333333333336
13,13,M,35-44,2:29:12,3:32/km,7587692,1524530461,Garmin Forerunner 920XT,Adidas Adios 3 #2,42.34,London,2018,Marathon,Garmin,0.14500000000000313,0.14500000000000313,Adidas,2.486666666666667
14,14,M,35-44,2:29:34,3:33/km,1741779,1524521853,TomTom,On Cloudx,42.57,London,2018,Marathon,TomTom,0.375,0.375,On,2.492777777777778
