,Rank,Gender,Age,Finish,Pace,Athlet_url,Race_url,Watch,Shoes,Distance,City,Year,Race_Type,Watch_Brand,Watch_Error,Watch_Error_Abs,Shoes_Brand,Finish_Numeric
2,2,M,20-24,2:11:08,3:06/km,1478217,2325165628,Garmin Forerunner 235,NA,42.45,London,2019,Marathon,Garmin,0.25500000000000256,0.25500000000000256,NA,2.1855555555555553
3,3,M,25-34,2:11:13,3:07/km,7108065,2401562348,Garmin Forerunner 235,NA,42.66,London,2019,Marathon,Garmin,0.4649999999999963,0.4649999999999963,NA,2.1869444444444444
4,4,M,NA,2:13:27,3:10/km,2477350,2329116363,Garmin Forerunner 935,New Balance 1080,42.41,London,2019,Marathon,Garmin,0.2149999999999963,0.2149999999999963,New Balance,2.2241666666666666
5,5,M,25-34,2:14:25,3:11/km,30191298,2328309492,Garmin Forerunner 235,NA,42.25,London,2019,Marathon,Garmin,0.054999999999999716,0.054999999999999716,NA,2.240277777777778
6,6,NA,NA,2:14:56,3:12/km,3005477,2325345867,Garmin Forerunner 230,NA,42.56,London,2019,Marathon,Garmin,0.365000000000002,0.365000000000002,NA,2.248888888888889
7,7,M,25-34,2:15:03,3:12/km,7599904,2325461323,Garmin Forerunner 620,Saucony Ride,42.76,London,2019,Marathon,Garmin,0.5649999999999977,0.5649999999999977,Saucony,2.2508333333333335
8,8,M,35-44,2:15:40,3:13/km,1095316,2325692263,Garmin Forerunner 235,"""New Balance 880'S""",42.59,London,2019,Marathon,Garmin,0.3950000000000031,0.3950000000000031,"""New Balance",2.261111111111111
9,9,M,35-44,2:17:30,3:16/km,7621711,2325660536,Garmin Forerunner 610,Mizuno 4 Blue,42.56,London,2019,Marathon,Garmin,0.365000000000002,0.365000000000002,Mizuno,2.2916666666666665
10,10,M,25-34,2:20:03,3:19/km,6295914,2325428901,Garmin Forerunner 235,NA,42.66,London,2019,Marathon,Garmin,0.4649999999999963,0.4649999999999963,NA,2.334166666666667
11,11,M,25-34,2:20:08,3:19/km,1262861,2325323859,Garmin Forerunner 630,New Balance Vazee Pace V2 ,42.45,London,2019,Marathon,Garmin,0.25500000000000256,0.25500000000000256,New Balance,2.3355555555555556
12,12,M,25-34,2:20:31,3:20/km,13215838,2326682295,Garmin Forerunner 935,NA,42.32,London,2019,Marathon,Garmin,0.125,0.125,NA,2.3419444444444446
13,13,M,NA,2:20:57,3:20/km,12597686,2325396831,Garmin Forerunner 35,NA,42.39,London,2019,Marathon,Garmin,0.19500000000000028,0.19500000000000028,NA,2.3491666666666666
14,14,M,NA,2:21:15,3:21/km,15453939,2354832914,Suunto Spartan Sport Wrist HR,NA,43.13,London,2019,Marathon,Suunto,0.9350000000000023,0.9350000000000023,NA,2.354166666666667
15,15,M,NA,2:21:41,3:21/km,17782492,2325199479,Garmin Forerunner 935,Nike Nike 4_003 ,42.58,London,2019,Marathon,Garmin,0.384999999999998,0.384999999999998,Nike,2.361388888888889
16,16,M,NA,2:22:51,3:23/km,9390875,2325729452,Garmin Forerunner 235,Brooks Hpyerion,42.27,London,2019,Marathon,Garmin,0.07500000000000284,0.07500000000000284,Brooks,2.3808333333333334
17,17,M,35-44,2:23:03,3:23/km,3374049,2325181074,Garmin Forerunner 645 Music,Brooks Ghost 6,42.97,London,2019,Marathon,Garmin,0.7749999999999986,0.7749999999999986,Brooks,2.3841666666666668
18,18,M,35-44,2:23:08,3:24/km,7536729,2325241336,Garmin fenix 5S,Nike Vaporfly 4% Flyknit Blue,42.98,London,2019,Marathon,Garmin,0.7849999999999966,0.7849999999999966,Nike,2.3855555555555554
