,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
0,1,M,NA,2:16:12,3:14/km,2477350,1947479116,Garmin Forerunner 935,New Balance 1080,42.35,New York,2018,Marathon,Garmin,0.15500000000000114,0.15500000000000114,New Balance,2.27
2,3,M,25-34,2:19:29,3:18/km,8256022,1947878732,Garmin Forerunner 630,NA,42.36,New York,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,NA,2.324722222222222
3,4,M,35-44,2:20:30,3:20/km,1095316,1946237794,Garmin Forerunner 235,New Balance 880,42.5,New York,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,New Balance,2.341666666666667
4,5,M,25-34,2:22:53,3:23/km,19383742,1946180416,Polar Vantage V,New Balance 1400V6 Nyc Marathon,42.16,New York,2018,Marathon,Polar,-0.035000000000003695,0.035000000000003695,New Balance,2.381388888888889
5,6,M,35-44,2:25:50,3:27/km,23481887,1946136318,Garmin Forerunner 235,New Balance Rc1400V5,42.53,New York,2018,Marathon,Garmin,0.33500000000000085,0.33500000000000085,New Balance,2.4305555555555554
6,7,M,35-44,2:26:14,3:28/km,9426736,1946259400,Garmin Forerunner 620,Nike Zoom Fly,42.18,New York,2018,Marathon,Garmin,-0.015000000000000568,0.015000000000000568,Nike,2.4372222222222226
7,8,M,25-34,2:26:17,3:28/km,17236629,1946226583,Garmin Forerunner 935,NA,42.37,New York,2018,Marathon,Garmin,0.17499999999999716,0.17499999999999716,NA,2.4380555555555556
8,9,M,35-44,2:27:35,3:30/km,14249733,1946093372,Garmin fenix 5,New Balance Fuel Cell Impulse,42.93,New York,2018,Marathon,Garmin,0.7349999999999994,0.7349999999999994,New Balance,2.4597222222222226
9,10,M,25-34,2:28:12,3:31/km,18463658,1946144015,Garmin Forerunner 235,NA,42.75,New York,2018,Marathon,Garmin,0.5549999999999997,0.5549999999999997,NA,2.47
10,11,M,35-44,2:28:38,3:31/km,493823,1946204072,Polar M430,NA,42.84,New York,2018,Marathon,Polar,0.6450000000000031,0.6450000000000031,NA,2.477222222222222
11,12,M,25-34,2:28:45,3:32/km,6148079,1946316958,Garmin Forerunner 230,NA,42.26,New York,2018,Marathon,Garmin,0.06499999999999773,0.06499999999999773,NA,2.479166666666667
12,13,M,45-54,2:28:55,3:32/km,1298651,1946239424,Garmin Forerunner 935,Nike Vaporfly 4% Flyknit,42.26,New York,2018,Marathon,Garmin,0.06499999999999773,0.06499999999999773,Nike,2.4819444444444447
13,14,M,20-24,2:29:02,3:32/km,1842278,1946126241,Garmin Forerunner 935,Nike Vaporfly 4% Flynits,42.36,New York,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,Nike,2.483888888888889
14,15,F,NA,2:29:12,3:32/km,10695352,1946732127,Garmin Forerunner 235,NA,42.38,New York,2018,Marathon,Garmin,0.18500000000000227,0.18500000000000227,NA,2.486666666666667
15,16,M,25-34,2:29:18,3:32/km,25180469,1946173498,Garmin Forerunner 235,Nike Pegasus Turbo,42.3,New York,2018,Marathon,Garmin,0.10499999999999687,0.10499999999999687,Nike,2.4883333333333333
16,17,M,35-44,2:29:47,3:33/km,5675352,1946763523,Garmin Forerunner 225,NA,42.17,New York,2018,Marathon,Garmin,-0.02499999999999858,0.02499999999999858,NA,2.4963888888888888
17,18,M,25-34,2:29:48,3:33/km,8257131,1946231932,Polar V800,Nike Vaporfly Obsidian Nyc,42.93,New York,2018,Marathon,Polar,0.7349999999999994,0.7349999999999994,Nike,2.4966666666666666
18,19,M,25-34,2:29:55,3:33/km,8383731,1948222048,Garmin Forerunner 230,NA,42.62,New York,2018,Marathon,Garmin,0.42499999999999716,0.42499999999999716,NA,2.4986111111111113
19,20,M,35-44,2:30:10,3:34/km,15805252,1946142672,Garmin Forerunner 935,NA,42.36,New York,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,NA,2.5027777777777778
20,21,M,NA,2:30:18,3:34/km,7178627,1946767386,Garmin Forerunner 235,NA,42.46,New York,2018,Marathon,Garmin,0.26500000000000057,0.26500000000000057,NA,2.505
21,22,M,NA,2:30:33,3:34/km,14419395,1946174058,Garmin Forerunner 935,Saucony Type A,42.44,New York,2018,Marathon,Garmin,0.24499999999999744,0.24499999999999744,Saucony,2.5091666666666668
23,24,NA,NA,2:31:08,3:35/km,12491247,1957811175,Polar V800,NA,42.89,New York,2018,Marathon,Polar,0.6950000000000003,0.6950000000000003,NA,2.5188888888888887
24,25,M,NA,2:31:15,3:35/km,3039374,1946364061,Garmin Forerunner 230,Salming Takove Ty Na Zavody,42.63,New York,2018,Marathon,Garmin,0.4350000000000023,0.4350000000000023,Salming,2.5208333333333335
25,26,M,35-44,2:31:22,3:35/km,7598061,1946363748,Garmin Forerunner 230,Nike Winflo 4,42.73,New York,2018,Marathon,Garmin,0.5349999999999966,0.5349999999999966,Nike,2.522777777777778
26,27,M,NA,2:31:23,3:35/km,27453310,1946118556,Apple Watch Series 3,Nike Vaporfly 4% Orange,41.79,New York,2018,Marathon,Apple,-0.40500000000000114,0.40500000000000114,Nike,2.5230555555555556
27,28,M,25-34,2:31:23,3:35/km,11590001,1946278034,Garmin Forerunner 235,NA,41.84,New York,2018,Marathon,Garmin,-0.3549999999999969,0.3549999999999969,NA,2.5230555555555556
29,30,M,NA,2:31:40,3:36/km,15038879,1946157809,Garmin vivoactive,NA,42.45,New York,2018,Marathon,Garmin,0.25500000000000256,0.25500000000000256,NA,2.5277777777777777
30,31,M,35-44,2:32:02,3:36/km,35377413,1946332889,Garmin Forerunner 630,NA,42.07,New York,2018,Marathon,Garmin,-0.125,0.125,NA,2.533888888888889
31,32,M,25-34,2:32:03,3:36/km,8865034,1946137710,Garmin Forerunner 235,On Cloudflash,42.44,New York,2018,Marathon,Garmin,0.24499999999999744,0.24499999999999744,On,2.5341666666666667
32,33,F,25-34,2:32:04,3:36/km,11398664,1946301570,Garmin Forerunner 220,Asics Gt 2000,42.79,New York,2018,Marathon,Garmin,0.5949999999999989,0.5949999999999989,Asics,2.5344444444444445
34,35,M,35-44,2:32:55,3:37/km,12456950,1946293965,Garmin Forerunner 225,NA,42.54,New York,2018,Marathon,Garmin,0.34499999999999886,0.34499999999999886,NA,2.548611111111111
35,36,M,20-24,2:33:06,3:38/km,5080375,1946143886,Garmin Forerunner 235,Saucony Kinvara 6,42.5,New York,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,Saucony,2.5516666666666663
36,37,M,NA,2:33:49,3:39/km,18840635,1946528180,Garmin Forerunner 630,Adidas Adios Boost,42.52,New York,2018,Marathon,Garmin,0.32500000000000284,0.32500000000000284,Adidas,2.563611111111111
37,38,M,NA,2:33:50,3:39/km,11154948,1946586361,Garmin Forerunner 230,NA,42.46,New York,2018,Marathon,Garmin,0.26500000000000057,0.26500000000000057,NA,2.5638888888888887
38,39,M,25-34,2:33:53,3:39/km,22933727,1946336962,Garmin Forerunner 235,NA,42.5,New York,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,NA,2.564722222222222
39,40,M,25-34,2:34:39,3:40/km,6754069,1946359306,Garmin fenix 5S,Nike Zoom Fly Fk,43.05,New York,2018,Marathon,Garmin,0.8549999999999969,0.8549999999999969,Nike,2.5774999999999997
40,41,M,25-34,2:34:47,3:40/km,1703840,1946341061,Garmin Forerunner 645 Music,Nike Flyknit 4%,42.36,New York,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,Nike,2.579722222222222
