,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
1,1,M,35-44,2:31:46,3:36/km,3481734,504063946,Garmin Forerunner 910XT,Mizuno Wave Rider 18 Vertes,42.63,Tokyo,2016,Marathon,Garmin,0.4350000000000023,0.4350000000000023,Mizuno,2.5294444444444446
2,2,M,NA,3:04:44,4:23/km,12406626,504054179,Garmin Forerunner 220,NA,42.91,Tokyo,2016,Marathon,Garmin,0.7149999999999963,0.7149999999999963,NA,3.0788888888888892
3,3,M,NA,3:18:53,4:43/km,4307271,504134913,Soleus GPS,NA,44.09,Tokyo,2016,Marathon,Soleus,1.8950000000000031,1.8950000000000031,NA,3.314722222222222
4,4,M,55-64,3:23:56,4:50/km,6573097,504052394,Garmin Forerunner 920XT,NA,42.8,Tokyo,2016,Marathon,Garmin,0.6049999999999969,0.6049999999999969,NA,3.398888888888889
5,5,NA,NA,3:29:46,4:58/km,16894799,699900610,NA,NA,43.01,Tokyo,2016,Marathon,NA,0.8149999999999977,0.8149999999999977,NA,3.4961111111111114
6,6,M,35-44,3:30:24,4:59/km,18702958,1080897635,NA,NA,43.44,Tokyo,2016,Marathon,NA,1.2449999999999974,1.2449999999999974,NA,3.506666666666667
7,7,M,25-34,3:31:27,5:01/km,32073229,1938908280,Suunto,NA,43.07,Tokyo,2016,Marathon,Suunto,0.875,0.875,NA,3.5241666666666664
8,8,M,45-54,3:34:30,5:05/km,787990,504082811,Garmin Forerunner 910XT,NA,42.82,Tokyo,2016,Marathon,Garmin,0.625,0.625,NA,3.5749999999999997
9,9,M,NA,3:34:56,5:06/km,7873367,546916984,Garmin Forerunner 620,On Cloudsurfer,44.49,Tokyo,2016,Marathon,Garmin,2.2950000000000017,2.2950000000000017,On,3.582222222222222
10,10,M,25-34,3:37:53,5:10/km,3290818,505931971,Suunto Ambit2,Adidas Adizero Adios Boost 2,43.48,Tokyo,2016,Marathon,Suunto,1.2849999999999966,1.2849999999999966,Adidas,3.631388888888889
