,Rank,Gender,Age,Finish,Pace,Athlet_url,Race_url,Watch,Shoes,Distance,City,Year,Race_Type,Watch_Brand,Watch_Error,Watch_Error_Abs,Shoes_Brand,Finish_Numeric
1,1,M,35-44,2:24:11,3:25/km,9426736,881456544,Garmin Forerunner 620,NA,44.06,Tokyo,2017,Marathon,Garmin,1.865000000000002,1.865000000000002,NA,2.4030555555555555
2,2,M,35-44,2:26:01,3:28/km,1808914,883029926,Garmin Forerunner 910XT,NA,42.8,Tokyo,2017,Marathon,Garmin,0.6049999999999969,0.6049999999999969,NA,2.4336111111111114
3,3,M,35-44,2:26:43,3:29/km,8394863,879822345,NA,NA,43.14,Tokyo,2017,Marathon,NA,0.9450000000000003,0.9450000000000003,NA,2.445277777777778
4,4,M,20-24,2:27:03,3:29/km,16709968,882374824,Garmin Forerunner 620,NA,44.5,Tokyo,2017,Marathon,Garmin,2.3049999999999997,2.3049999999999997,NA,2.4508333333333336
5,5,NA,NA,2:27:33,3:30/km,4662746,879828324,Garmin Forerunner 630,Nike Lunaracer - Grey,43.4,Tokyo,2017,Marathon,Garmin,1.2049999999999983,1.2049999999999983,Nike,2.459166666666667
6,6,M,35-44,2:28:08,3:31/km,7771863,881212622,Garmin Forerunner 630,NA,42.21,Tokyo,2017,Marathon,Garmin,0.015000000000000568,0.015000000000000568,NA,2.468888888888889
7,7,M,NA,2:33:30,3:38/km,15367611,879830072,Suunto Ambit3 Sport,NA,45.08,Tokyo,2017,Marathon,Suunto,2.884999999999998,2.884999999999998,NA,2.558333333333333
8,8,M,35-44,2:33:30,3:38/km,7527403,879851855,TomTom,NA,42.86,Tokyo,2017,Marathon,TomTom,0.6649999999999991,0.6649999999999991,NA,2.558333333333333
10,10,M,45-54,2:33:48,3:39/km,3375816,880059859,Garmin Forerunner 220,NA,43.39,Tokyo,2017,Marathon,Garmin,1.1950000000000003,1.1950000000000003,NA,2.563333333333333
11,11,M,35-44,2:34:19,3:39/km,10713128,879846193,NA,NA,42.47,Tokyo,2017,Marathon,NA,0.2749999999999986,0.2749999999999986,NA,2.571944444444444
12,12,M,35-44,2:34:24,3:40/km,1827725,879856625,Garmin Forerunner 235,NA,42.63,Tokyo,2017,Marathon,Garmin,0.4350000000000023,0.4350000000000023,NA,2.5733333333333333
13,13,M,45-54,2:35:49,3:42/km,18612417,884520081,Garmin Forerunner 920XT,NA,42.82,Tokyo,2017,Marathon,Garmin,0.625,0.625,NA,2.5969444444444445
14,14,M,35-44,2:35:56,3:42/km,7315669,880064547,Garmin Forerunner 920XT,Nike Zoom Elite 8 ,43.59,Tokyo,2017,Marathon,Garmin,1.3950000000000031,1.3950000000000031,Nike,2.5988888888888892
