,Rank,Gender,Age,Finish,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
0,1,M,25-34,1:02:17,29367017,1941190038,Garmin Forerunner 235,NA,21.16,Valencia,2018,Halfmarathon,Garmin,0.0625,0.0625,NA,1.0380555555555557
1,2,M,20-24,1:02:20,23870632,1931565739,Garmin Forerunner 630,NA,21.2,Valencia,2018,Halfmarathon,Garmin,0.10249999999999915,0.10249999999999915,NA,1.038888888888889
2,3,M,35-44,1:02:24,5890060,1931708777,Suunto,Nike Vaporfly 4%,21.43,Valencia,2018,Halfmarathon,Suunto,0.3324999999999996,0.3324999999999996,Nike,1.04
3,4,M,25-34,1:04:33,26879777,1932962279,Garmin Forerunner 35,NA,21.15,Valencia,2018,Halfmarathon,Garmin,0.05249999999999844,0.05249999999999844,NA,1.0758333333333334
4,5,M,20-24,1:05:53,17421893,1931737771,Garmin Forerunner 735XT,NA,21.28,Valencia,2018,Halfmarathon,Garmin,0.182500000000001,0.182500000000001,NA,1.0980555555555556
5,6,M,35-44,1:06:24,1762266,1932479115,Garmin Forerunner 630,Nike Pegasus 34,21.2,Valencia,2018,Halfmarathon,Garmin,0.10249999999999915,0.10249999999999915,Nike,1.1066666666666667
6,7,M,35-44,1:06:25,2985895,1931627066,Suunto,Saucony Ride,21.37,Valencia,2018,Halfmarathon,Suunto,0.27250000000000085,0.27250000000000085,Saucony,1.1069444444444445
7,8,M,35-44,1:06:28,149906,1931548720,Garmin Forerunner 645,NA,20.96,Valencia,2018,Halfmarathon,Garmin,-0.1374999999999993,0.1374999999999993,NA,1.107777777777778
8,9,M,25-34,1:06:29,3557200,1931727385,Garmin Forerunner 235,New Balance Hanzo,21.2,Valencia,2018,Halfmarathon,Garmin,0.10249999999999915,0.10249999999999915,New Balance,1.1080555555555556
9,10,M,25-34,1:06:44,17291094,1931619377,Garmin Forerunner 235,NA,21.2,Valencia,2018,Halfmarathon,Garmin,0.10249999999999915,0.10249999999999915,NA,1.1122222222222222
10,11,M,25-34,1:08:29,10725403,1931581297,Suunto Ambit3 Sport,Nike Vaporfly 4%,21.31,Valencia,2018,Halfmarathon,Suunto,0.21249999999999858,0.21249999999999858,Nike,1.1413888888888888
11,12,M,25-34,1:08:29,19511929,1932485881,Garmin Forerunner 235,NA,21.21,Valencia,2018,Halfmarathon,Garmin,0.11250000000000071,0.11250000000000071,NA,1.1413888888888888
13,14,M,25-34,1:09:13,18935165,1932168460,Garmin Forerunner 630,NA,21.19,Valencia,2018,Halfmarathon,Garmin,0.09250000000000114,0.09250000000000114,NA,1.153611111111111
14,15,M,35-44,1:09:41,3219765,1931558595,Garmin Forerunner 935,Nike Streak 6 Negras,21.19,Valencia,2018,Halfmarathon,Garmin,0.09250000000000114,0.09250000000000114,Nike,1.1613888888888888
15,16,M,NA,1:09:44,12807123,1931777038,Garmin Forerunner 235,NA,21.16,Valencia,2018,Halfmarathon,Garmin,0.0625,0.0625,NA,1.162222222222222
16,17,M,35-44,1:09:51,4343300,1931574945,Garmin Forerunner 920XT,Nike Zoom Fly Flyknit,21.27,Valencia,2018,Halfmarathon,Garmin,0.17249999999999943,0.17249999999999943,Nike,1.1641666666666666
17,18,M,25-34,1:09:51,20119855,1931621830,Garmin fenix 3,NA,21.29,Valencia,2018,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,NA,1.1641666666666666
18,19,M,NA,1:10:12,9373699,1933092886,Garmin fenix 5,Nike Lt,21.29,Valencia,2018,Halfmarathon,Garmin,0.192499999999999,0.192499999999999,Nike,1.1700000000000002
19,20,M,NA,1:10:16,3023556,1931583364,Garmin Forerunner 230,NA,21.16,Valencia,2018,Halfmarathon,Garmin,0.0625,0.0625,NA,1.1711111111111112
1,22,M,35-44,1:10:35,3643735,1931547622,Garmin Forerunner 630,NA,21.22,Valencia,2018,Halfmarathon,Garmin,0.12249999999999872,0.12249999999999872,NA,1.176388888888889
3,24,M,35-44,1:10:42,7308458,1931579014,Suunto,NA,21.38,Valencia,2018,Halfmarathon,Suunto,0.28249999999999886,0.28249999999999886,NA,1.1783333333333335
4,25,M,35-44,1:10:47,6777365,1931627852,Garmin fenix 5X,NA,21.32,Valencia,2018,Halfmarathon,Garmin,0.22250000000000014,0.22250000000000014,NA,1.1797222222222223
5,26,M,25-34,1:11:10,24719935,1932432669,Garmin Forerunner 645 Music,NA,21.18,Valencia,2018,Halfmarathon,Garmin,0.08249999999999957,0.08249999999999957,NA,1.1861111111111111
8,29,M,NA,1:11:32,33733829,1932155058,Garmin fenix 5,NA,21.33,Valencia,2018,Halfmarathon,Garmin,0.23249999999999815,0.23249999999999815,NA,1.1922222222222223
