Watch,Watch_price
Garmin Forerunner 310XT,
Apple Watch Series 2,277.0
Suunto 9,451.0
Polar,
Garmin Edge 820,500.0
iPhone App,
Fitbit Blaze,186.0
Polar M460,
Apple Watch Series 4,1.0
Suunto Ambit3 Vertical,392.0
Huami Amazfit Sports Watch,1.0
Suunto 3 Fitness,179.0
Garmin Forerunner 610,
Garmin Edge 810,2.0
Polar Vantage M,270.0
Suunto Spartan Sport Wrist HR,378.0
Suunto Ambit3 Sport,235.0
Garmin Forerunner 630,
Fitbit Ionic,239.0
Samsung Gear S3 Frontier,1.0
Garmin Forerunner 735XT,253.0
Suunto Ambit2 R,235.0
Huami Amazfit Pace,
Android Wear,
vivosmart HR+,134.0
Suunto Ambit2,235.0
Garmin Forerunner 25,79.0
Garmin Forerunner 410,
Garmin vivoactive 3 Music,261.0
Garmin Forerunner 230,
Fitbit Surge,
Garmin vivosport,111.0
Suunto,235.0
Garmin Forerunner 920XT,
Garmin fenix 2,
Garmin Forerunner 10,
Suunto Ambit3 Peak,311.0
Garmin Forerunner 620,
Suunto Spartan Sport Wrist HR Baro,378.0
Garmin Edge 800,500.0
Polar M200,136.0
Suunto Traverse,419.0
Apple Watch Series 3,296.0
Garmin fenix 5X Plus,721.0
Garmin fenix,601.0
Samsung Galaxy Watch Active,199.0
Suunto Ambit3 Run,227.0
Polar M600,250.0
Suunto Spartan Ultra,506.0
Garmin Forerunner 910XT,600.0
Garmin fenix Chronos,
Garmin fenix 5S,15.0
Timex Ironman GPS,
Garmin fenix 3,
Polar M400,
COROS APEX,
Garmin fenix 5,373.0
Garmin fenix 5S Plus,589.0
Suunto Spartan Sport,399.0
Apple Watch Series 1,
Garmin vivoactive,
Polar Vantage V,459.0
Garmin D2 Charlie,
Garmin Forerunner 235,189.0
Garmin Forerunner 405,
Fitbit,122.0
Garmin epix,
Suunto Ambit2 S,235.0
Wahoo,
Suunto Trainer Wrist HR,226.0
Fitbit Versa,196.0
Samsung Health,18.0
Garmin Forerunner 935,30.0
Garmin Forerunner 225,
Garmin Forerunner 15,
Garmin Forerunner 110,
Garmin Descent Mk1,
Suunto Ambit,235.0
Garmin Edge 25,
Polar V800,
Fitbit Charge 2,122.0
Soleus GPS,
Garmin fenix 5X,259.0
Garmin Forerunner 645 Music,339.0
Garmin fenix 5 Plus,601.0
COROS PACE,
Polar M430,149.0
Garmin vivoactive 3,204.0
Garmin vivoactive HR,269.0
Garmin Instinct,273.0
Garmin Forerunner 645,325.0
Android App,457.0
Garmin Forerunner 220,
Garmin Forerunner 35,114.0
Strava GPX,
Garmin Edge 500,
Garmin Edge 200,
TomTom,325.0
Garmin Forerunner 210,
Garmin Forerunner 305,600.0
Samsung Galaxy Watch,1.0
Apple Watch 1st Generation,1.0
Samsung Gear Sport,153.0
