,0
0,33.75
1,21.29
2,21.21
3,21.38
4,21.29
5,21.23
6,21.29
7,21.33
8,21.23
9,21.06
10,21.31
11,21.20
12,21.43
13,21.18
14,21.29
15,21.35
16,21.41
17,21.31
18,21.36
19,21.26
20,21.29
21,21.27
22,21.24
23,21.19
24,21.24
25,21.25
26,21.18
27,21.23
28,21.19
29,21.15
30,21.21
31,21.24
32,21.34
33,21.22
34,21.21
35,21.21
36,21.17
37,21.27
38,21.19
39,21.28
40,21.43
41,21.16
42,21.32
43,21.33
44,21.28
45,21.34
46,21.34
47,21.29
48,21.59
49,21.28
50,21.29
51,21.14
52,21.20
53,21.23
54,21.38
55,21.41
56,21.27
57,21.21
58,21.20
59,21.29
60,21.33
61,21.28
62,21.18
63,21.13
64,
65,21.23
66,21.19
67,21.15
68,21.24
69,21.48
70,21.17
71,21.23
72,21.30
73,21.28
74,
75,21.13
76,21.24
77,21.27
78,21.26
79,21.47
80,21.21
81,21.29
82,22.13
83,21.41
84,21.39
85,21.31
86,21.30
87,21.25
88,21.25
89,21.29
90,21.21
91,21.42
92,21.43
93,21.28
94,21.23
95,21.34
96,21.22
97,21.28
98,21.13
99,21.60
100,21.31
101,21.38
102,21.22
103,21.18
104,21.27
105,21.17
106,21.21
107,21.40
108,21.16
109,21.38
110,21.22
111,21.18
112,21.24
113,21.22
114,21.37
115,
116,
117,21.31
118,21.25
119,21.34
120,21.32
121,
122,21.41
123,21.31
124,21.13
125,21.31
126,21.25
127,21.45
128,21.53
129,21.14
130,21.25
131,
132,21.15
133,21.21
134,21.35
135,21.23
136,21.04
137,21.13
138,21.38
139,21.38
140,21.20
141,21.46
142,21.31
143,21.24
144,21.34
145,
146,21.25
147,21.21
148,21.39
149,21.39
150,21.37
151,21.31
152,21.34
153,21.45
154,21.33
155,21.36
156,21.44
157,21.16
158,21.33
159,21.20
160,21.23
161,21.27
162,21.19
163,21.35
164,
165,21.29
166,21.43
167,21.28
168,21.18
169,21.38
170,21.36
171,21.27
172,21.37
173,21.30
174,21.22
175,
176,21.45
177,21.39
178,21.23
179,21.32
180,
181,21.30
182,21.40
183,21.22
184,21.38
185,
186,21.40
187,21.43
188,21.25
189,21.36
190,21.29
191,21.40
192,21.28
193,21.43
194,21.35
195,21.16
196,21.47
197,21.51
198,21.23
199,21.24
200,21.24
201,21.35
202,21.26
203,21.23
204,21.32
205,21.27
206,
207,21.13
208,21.34
209,21.17
210,
211,21.27
212,21.24
213,21.22
214,21.38
215,21.24
216,21.50
217,21.45
218,21.20
219,21.24
220,21.23
221,21.27
222,21.37
223,21.24
224,21.31
225,21.40
226,21.22
227,21.23
228,21.26
229,21.30
230,21.10
231,21.24
232,21.28
233,21.30
234,21.33
235,21.19
236,21.26
237,21.22
238,21.31
239,21.19
240,21.23
241,21.34
242,21.30
243,21.27
244,21.28
245,21.24
246,21.28
247,21.19
248,21.56
249,21.30
250,21.22
251,21.27
252,20.17
253,21.18
254,21.27
255,21.29
256,21.20
257,21.33
258,21.36
259,21.23
260,21.39
261,21.41
262,21.27
263,21.60
264,21.29
265,21.21
266,21.25
267,21.29
268,21.27
269,21.24
270,21.46
271,21.44
272,21.26
273,21.22
274,21.41
275,21.26
276,21.18
277,21.47
278,21.24
279,21.28
280,21.26
281,21.43
282,21.28
283,
284,21.10
285,21.45
286,21.44
287,21.42
288,21.39
289,21.02
290,21.29
291,21.29
292,21.46
293,21.48
294,21.24
295,20.96
296,21.31
297,21.24
298,21.28
299,21.17
300,21.56
301,21.42
302,
303,21.49
304,21.46
305,
306,21.19
307,
308,
309,21.52
310,21.25
311,21.54
312,21.14
313,21.39
314,21.37
315,21.28
316,21.34
317,
318,21.22
319,
320,21.43
321,21.25
322,21.26
323,21.34
324,21.27
325,21.40
326,21.36
327,21.29
328,21.42
329,21.56
330,
331,21.30
332,21.47
333,21.20
334,21.37
335,21.42
336,21.38
337,21.22
338,
339,21.26
340,21.41
341,21.23
342,21.24
343,21.23
344,
345,21.39
346,21.25
347,21.25
348,21.26
349,
350,21.31
351,21.25
352,21.22
353,21.43
354,21.23
355,21.22
356,21.43
357,21.30
358,21.45
359,21.23
360,21.33
361,21.34
362,
363,
364,21.42
365,21.26
366,21.15
367,21.51
368,21.25
369,21.24
370,21.37
371,21.26
372,21.36
373,21.42
374,21.23
375,21.41
376,21.38
377,21.23
378,21.36
379,21.18
380,21.37
381,21.58
382,21.42
383,21.24
384,21.27
385,21.44
386,21.28
387,21.26
388,
389,21.42
390,21.52
391,21.29
392,21.29
393,21.28
394,21.27
395,
396,21.29
397,21.50
398,21.30
399,
400,21.15
401,21.18
402,21.45
403,21.40
404,21.19
405,21.23
406,21.37
407,21.37
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,21.42
425,21.20
426,21.43
427,21.45
428,
429,21.48
430,21.22
431,21.22
432,21.14
433,21.28
434,21.54
435,
436,21.42
437,21.38
438,21.24
439,21.23
440,21.40
441,21.38
442,21.24
443,21.45
444,
445,21.29
446,21.20
447,
448,21.41
449,21.34
450,21.34
451,21.24
452,21.49
453,21.26
454,21.38
455,21.20
456,21.20
457,21.50
458,21.68
459,
460,21.22
461,21.41
462,21.28
463,
464,21.21
465,21.47
466,21.29
467,21.43
468,21.53
469,21.39
470,21.16
471,21.44
472,21.28
473,21.26
474,21.49
475,21.45
476,21.31
477,21.26
478,21.29
479,21.44
480,21.19
481,21.29
482,21.36
483,21.35
484,21.25
485,21.47
486,21.48
487,21.40
488,21.37
489,21.36
490,21.44
491,
492,21.44
493,21.08
494,
495,21.24
496,21.32
497,21.52
498,21.22
499,21.31
500,21.22
501,21.35
502,21.46
503,21.44
504,21.52
505,21.24
506,21.25
507,21.28
508,21.26
509,21.35
510,21.16
511,21.27
512,21.38
513,21.30
514,21.29
515,21.18
516,21.23
517,
518,21.45
519,21.22
520,17.19
521,21.27
522,21.45
523,21.45
524,21.66
525,21.24
526,21.31
527,21.48
528,21.20
529,21.40
530,21.23
531,21.26
532,21.49
533,21.28
534,21.46
535,21.65
536,21.24
537,21.26
538,21.55
539,20.78
540,21.27
541,21.27
542,21.28
543,21.55
544,21.27
545,21.45
546,21.34
547,21.34
548,21.43
549,21.31
550,21.31
551,21.45
552,21.46
553,21.52
554,21.37
555,21.22
556,21.34
557,21.12
558,21.42
559,21.51
560,
561,21.42
562,21.46
563,21.25
564,21.38
565,21.48
566,21.42
567,21.48
568,21.34
569,21.69
570,21.44
571,
572,21.54
573,21.32
574,21.43
575,21.30
576,21.51
577,21.23
578,21.41
579,21.36
580,21.42
581,21.24
582,21.53
583,21.13
584,21.31
585,21.32
586,21.43
587,21.44
588,21.30
589,21.79
590,
591,21.26
592,21.56
593,21.25
594,21.26
595,21.28
596,21.47
597,21.50
598,21.41
599,21.15
600,21.34
601,21.38
602,21.56
603,21.42
604,21.29
605,21.49
606,21.37
607,21.27
608,
609,21.41
610,21.27
611,21.17
612,21.54
613,21.23
614,21.58
615,21.56
616,21.49
617,21.21
618,21.40
619,21.41
620,
621,21.26
622,21.40
623,21.18
624,21.28
625,21.53
626,21.43
627,21.23
628,21.39
629,21.43
630,21.26
631,21.34
632,21.28
633,21.22
634,21.45
635,21.51
636,21.23
637,21.37
638,21.27
639,21.62
640,21.47
641,21.42
642,21.40
643,21.52
644,21.27
645,21.26
646,21.28
647,21.63
648,21.45
649,21.38
650,21.82
651,21.24
652,21.24
653,21.51
654,21.27
655,21.42
656,21.48
657,
658,21.39
659,21.43
660,21.24
661,21.25
662,21.22
663,21.63
664,21.31
665,21.17
666,21.48
667,21.30
668,21.23
669,21.22
670,21.33
671,21.27
672,21.28
673,21.32
674,21.42
675,21.44
676,21.49
677,21.45
678,21.47
679,21.48
680,21.28
681,21.28
682,21.25
683,
684,21.42
685,21.38
686,21.38
687,21.45
688,21.45
689,21.47
690,21.23
691,21.33
692,21.33
693,21.25
694,21.31
695,21.45
696,
697,21.50
698,21.29
699,21.32
700,
701,21.50
702,21.40
703,21.27
704,21.19
705,21.44
706,21.44
707,21.09
708,21.36
709,21.30
710,21.25
711,21.40
712,21.45
713,21.26
714,21.27
715,21.45
716,21.50
717,21.41
718,21.48
719,21.25
720,21.40
721,21.38
722,21.20
723,
724,
725,21.30
726,21.41
727,21.42
728,21.32
729,21.26
730,21.26
731,21.30
732,21.34
733,21.26
734,21.27
735,21.47
736,21.21
737,21.50
738,21.26
739,21.44
740,
741,21.23
742,
743,
744,21.44
745,21.65
746,21.23
747,21.43
748,21.55
749,
750,21.24
751,21.44
752,21.31
753,21.21
754,21.25
755,21.28
756,21.28
757,21.22
758,21.47
759,21.27
760,21.47
761,21.31
762,21.39
763,
764,21.44
765,21.50
766,21.32
767,21.33
768,21.33
769,21.50
770,21.29
771,21.51
772,21.30
773,21.37
774,21.31
775,
776,21.47
777,21.28
778,21.51
779,21.29
780,21.32
781,21.44
782,21.26
783,21.30
784,
785,21.44
786,21.36
787,21.51
788,21.26
789,21.28
790,21.16
791,21.27
792,21.26
793,21.33
794,21.18
795,21.41
796,21.37
797,21.31
798,21.29
799,21.14
800,
801,21.24
802,
803,21.22
804,21.24
805,21.26
806,21.44
807,21.40
808,21.43
809,
810,21.39
811,21.48
812,21.41
813,21.43
814,21.45
815,21.35
816,21.49
817,
818,21.56
819,21.27
820,21.49
821,21.27
822,21.44
823,21.30
824,21.09
825,21.36
826,21.29
827,21.42
828,21.29
829,21.26
830,21.33
831,21.30
832,21.21
833,21.54
834,21.23
835,21.38
836,
837,21.28
838,21.47
839,21.24
840,21.45
841,21.50
842,21.35
843,21.23
844,21.33
845,21.64
846,21.51
847,
848,21.31
849,21.48
850,21.34
851,21.48
852,21.94
853,21.12
854,21.37
855,21.43
856,21.06
857,21.26
858,21.34
859,
860,21.21
861,21.28
862,21.53
863,
864,21.24
865,21.69
866,21.41
867,21.30
868,21.36
869,21.34
870,21.28
871,
872,21.47
873,
874,21.30
875,21.28
876,21.33
877,21.50
878,21.42
879,21.52
880,21.39
881,21.30
882,21.07
883,21.46
884,21.70
885,
886,21.25
887,21.41
888,21.33
889,21.50
890,21.17
891,21.44
892,21.41
893,21.28
894,21.31
895,21.27
896,21.48
897,21.39
898,21.31
899,21.16
900,21.27
901,21.27
902,21.27
903,21.29
904,21.23
905,
906,21.56
907,21.00
908,21.45
909,21.31
910,21.27
911,21.27
