,0
0,—
1,—
2,—
3,"adidas Glide(16,070.6 km)"
4,—
5,Nike Vaporfly 4% Flyknit(259.2 km)
6,—
7,"New Balance 880(6,072.8 km)"
8,"adidas chassure d'entrainement 13/02/16(9,098.4 km)"
9,—
10,—
11,"Saucony Liberty(4,617.4 km)"
12,—
13,"Nike PEGASUS 34(10,338.3 km)"
14,—
15,—
16,—
17,Nike zoom vaporfly 4%(49.3 km)
18,—
19,—
20,—
21,"Brooks Ghost(21,614.4 km)"
22,—
23,Nike VaporFly 4%(84.3 km)
24,"Altra One v3(2,493.8 km)"
25,—
26,"Nike Air Zoom Pegasus 35(1,353.8 km)"
27,—
28,Nike Vaporfly 4% Flyknit(265.2 km)
29,—
30,Nike Vaporfly Flyknit Red(173.3 km)
31,Nike Vaporfly 4% Flyknit(369.9 km)
32,"Saucony Ride(12,961.4 km)"
33,"Nike 4%(3,069.8 km)"
34,—
35,"ASICS DS GEL Trainer 23(1,020.6 km)"
36,Nike VaporFly 4%(359.8 km)
37,Nike Flynit 4%(148.5 km)
38,—
39,Nike Vaporfly 4 % Flyknit(241.7 km)
40,—
41,—
42,"No name Delmon-(2,699.2 km)"
43,Nike Zoom Fly Flyknit(221.7 km)
44,Nike Vaporfly 4% Flyknit #1 (Red)(102.3 km)
45,—
46,—
47,ASICS DS Racer(74.5 km)
48,—
49,"Mizuno Raider 22(3,599.9 km)"
50,HOKA ONE ONE Tracer 2 - second pair(683.0 km)
51,Saucony Kinvara 9(186.9 km)
52,Nike Vaporfly moradas(103.3 km)
53,—
54,Nike Vaporfly Crimson(135.1 km)
55,Nike VaporFly 4%(110.3 km)
56,"adidas Adios Boost 2(11,202.8 km)"
57,—
58,—
59,—
60,—
61,Nike Zoom Vaporfly 4% (09/18)(346.2 km)
62,New Balance Boracay(963.0 km)
63,New Balance 1400 v6(676.3 km)
64,
65,Puma Ignite Speed 100(82.8 km)
66,—
67,—
68,—
69,"Nike Lunar Tempo(6,120.5 km)"
70,—
71,—
72,—
73,—
74,
75,—
76,—
77,—
78,—
79,—
80,—
81,adidas adios boost(212.0 km)
82,—
83,—
84,"adidas Adios, orange (05.08.2018)(1,010.9 km)"
85,—
86,—
87,—
88,—
89,"Brooks Ghost 10(3,976.5 km)"
90,—
91,—
92,Nike VaporFly 4%(165.1 km)
93,—
94,—
95,—
96,Nike VaporFly 4%(196.3 km)
97,Nike VaporFly 4%(115.2 km)
98,Nike Zoom Fly FK(171.6 km)
99,"Salomon slab sense ultra(11,610.8 km)"
100,adidas Adizero sub 2(282.5 km)
101,—
102,—
103,—
104,—
105,—
106,adidas adizero adios(149.2 km)
107,Nike Zoom Fly(176.3 km)
108,"Nike PEGASUS 34(2,299.1 km)"
109,—
110,—
111,Nike Pegasus 35 naranja(831.2 km)
112,Nike Pegasus 35 Turbo(238.8 km)
