,0
0,"<a href=""/mobile"">Strava Android App</a>"
1,Garmin Forerunner 645 Music
2,Garmin Forerunner 735XT
3,Polar Vantage V
4,Garmin Forerunner 235
5,Garmin Forerunner 235
6,Garmin Forerunner 235
7,Garmin Forerunner 235
8,Garmin Forerunner 920XT
9,
10,Suunto 9
11,Garmin Forerunner 220
12,Polar M430
13,Garmin Forerunner 935
14,Garmin Forerunner 220
15,Suunto Ambit3 Peak
16,Garmin fēnix 3
17,Garmin fēnix 5
18,Suunto Ambit3 Sport
19,Garmin Forerunner 235
20,Garmin fēnix 5
21,Garmin Forerunner 235
22,Suunto Ambit3 Sport
23,Garmin Forerunner 735XT
24,Garmin Forerunner 935
25,Garmin Forerunner 235
26,Garmin Forerunner 235
27,Garmin Forerunner 920XT
28,Garmin Forerunner 935
29,Garmin Forerunner 645
30,Garmin Forerunner 235
31,Garmin Forerunner 935
32,Polar M400
33,Garmin Forerunner 935
34,Garmin Forerunner 935
35,TomTom
36,Garmin Forerunner 235
37,Garmin Forerunner 935
38,Garmin Forerunner 620
39,Garmin Forerunner 235
40,Garmin fēnix 5S Plus
41,TomTom
42,Garmin fēnix 5
43,Garmin Forerunner 910XT
44,Garmin Forerunner 630
45,Garmin fēnix 3
46,Garmin fēnix 3
47,Garmin Forerunner 630
48,Garmin Forerunner 235
49,Suunto 9
50,Garmin Forerunner 920XT
51,Garmin Forerunner 235
52,Garmin Forerunner 630
53,Garmin Forerunner 935
54,Polar V800
55,Garmin fēnix 3
56,Garmin Forerunner 630
57,Garmin Forerunner 235
58,Garmin Forerunner 230
59,Garmin Forerunner 220
60,Garmin fēnix 3
61,Garmin Forerunner 935
62,Garmin Forerunner 225
63,Garmin Vívoactive
64,
65,Garmin Forerunner 230
66,Garmin Forerunner 230
67,Garmin Forerunner 920XT
68,Garmin Forerunner 920XT
69,Suunto Ambit3 Sport
70,
71,Garmin Forerunner 235
72,Garmin Forerunner 620
73,Garmin Forerunner 235
74,
75,Garmin Forerunner 920XT
76,Garmin Forerunner 735XT
77,Garmin Forerunner 235
78,Garmin Forerunner 235
79,Garmin fēnix 5
80,Garmin Forerunner 230
81,Garmin Forerunner 935
82,Garmin fēnix 5
83,Suunto Ambit3 Peak
84,Garmin fēnix 3
85,Garmin Forerunner 735XT
86,Garmin Forerunner 235
87,Garmin Forerunner 920XT
88,Polar Vantage V
89,Garmin Forerunner 630
90,Garmin Forerunner 920XT
91,Garmin fēnix 5X Plus
92,Garmin fēnix 5 Plus
93,Garmin Forerunner 735XT
94,Garmin Forerunner 935
95,Garmin fēnix 3
96,Garmin Forerunner 935
97,Garmin Forerunner 735XT
98,Garmin Forerunner 935
99,Suunto 9
100,Garmin Forerunner 735XT
101,Suunto Ambit3 Sport
102,Garmin Forerunner 25
103,Garmin Forerunner 735XT
104,Garmin fēnix 5
105,Garmin Forerunner 225
106,Garmin Forerunner 645
107,Garmin fēnix 5
108,Garmin fēnix 3
109,Suunto Spartan Sport
110,Garmin Forerunner 935
111,Garmin Forerunner 920XT
112,Garmin Forerunner 235
113,Garmin vívoactive 3
114,Suunto Spartan Sport
115,
116,
117,Garmin Forerunner 620
118,Garmin Forerunner 920XT
119,Garmin fēnix 5
120,Garmin Forerunner 210
121,
122,Garmin fēnix 5S
123,Garmin fēnix 3
124,Suunto 9
125,Garmin fēnix 5X
126,Garmin Forerunner 235
127,Garmin fēnix 5X
128,Suunto Ambit3 Sport
129,Suunto 9
130,Suunto 9
131,
132,Garmin Forerunner 630
133,Garmin Vívoactive
134,Suunto Spartan Sport
135,Garmin Forerunner 235
136,Garmin Forerunner 920XT
137,Polar Vantage V
138,Suunto Ambit3 Sport
139,Suunto Ambit2 S
140,Garmin Forerunner 935
141,Polar M430
142,Garmin Forerunner 920XT
143,Garmin Forerunner 235
144,Polar M400
145,
146,Garmin Forerunner 235
147,Garmin Forerunner 235
148,Garmin fēnix 3
149,Garmin fēnix 3
150,Garmin fēnix 5S Plus
151,Garmin Forerunner 620
152,Suunto Ambit3 Vertical
153,Garmin fēnix 3
154,Garmin fēnix 3
155,Garmin fēnix 3
